Temp	freq	eps_real	eps_imag	loss	condAC_real	condAC_imag	m_real	m_imag	z_real	z_imag	Cp	Rp	Z_real_normalized	Z_imag_normalized	|Z|	Theta	Z_real_normalized	Z_imag_normalized	Dimensions
354	15848.9	33.259	0.351423	0.0105663	3.10E-07	2.93E-05	0.0300637	0.000317661	5309.24	502471	2.00E-11	4.76E+07	36027.6	3.41E+06	502499	89.3946	3.10E-09	2.93E-07	0
354	17782.8	33.2201	0.330654	0.00995342	3.27E-07	3.29E-05	0.0300992	0.00029959	4462.68	448357	2.00E-11	4.51E+07	30283	3.04E+06	448379	89.4297	3.27E-09	3.29E-07	0
354	19952.6	33.1963	0.310999	0.0093685	3.45E-07	3.68E-05	0.0301212	0.000282191	3746.37	399890	1.99E-11	4.27E+07	25422.3	2.71E+06	399908	89.4632	3.45E-09	3.68E-07	0
354	22387.2	33.1865	0.308243	0.00928821	3.84E-07	4.13E-05	0.0301302	0.000279855	3311.32	356508	1.99E-11	3.84E+07	22470.1	2.42E+06	356524	89.4678	3.84E-09	4.13E-07	0
354	25118.9	33.1595	0.29784	0.00898205	4.16E-07	4.63E-05	0.0301548	0.000270852	2856.28	317999	1.99E-11	3.54E+07	19382.2	2.16E+06	318011	89.4854	4.16E-09	4.63E-07	0
354	28183.8	33.152	0.295869	0.00892463	4.64E-07	5.20E-05	0.0301617	0.000269182	2529.96	283481	1.99E-11	3.18E+07	17167.9	1.92E+06	283492	89.4887	4.64E-09	5.20E-07	0
354	31622.8	33.1243	0.290719	0.00877661	5.11E-07	5.83E-05	0.030187	0.000264939	2219.29	252864	1.99E-11	2.88E+07	15059.8	1.72E+06	252874	89.4971	5.11E-09	5.83E-07	0
354	35481.3	33.0987	0.278547	0.00841565	5.50E-07	6.53E-05	0.0302105	0.000254241	1898.08	225542	1.99E-11	2.68E+07	12880	1.53E+06	225550	89.5178	5.50E-09	6.53E-07	0
354	39810.7	33.0878	0.276682	0.00836207	6.13E-07	7.33E-05	0.0302205	0.000252706	1681.45	201081	1.99E-11	2.40E+07	11410	1.36E+06	201088	89.5209	6.13E-09	7.33E-07	0
354	44668.4	33.065	0.26507	0.00801664	6.59E-07	8.22E-05	0.0302415	0.000242435	1437.69	179338	1.99E-11	2.24E+07	9755.9	1.22E+06	179344	89.5407	6.59E-09	8.22E-07	0
354	50118.7	33.0455	0.263581	0.00797632	7.35E-07	9.21E-05	0.0302594	0.000241359	1275.65	159930	1.99E-11	2.01E+07	8656.35	1.09E+06	159935	89.543	7.35E-09	9.21E-07	0
354	56234.1	33.022	0.25095	0.00759948	7.85E-07	0.000103307	0.0302811	0.000230121	1083.99	142640	1.98E-11	1.88E+07	7355.76	967928	142644	89.5646	7.85E-09	1.03E-06	0
354	63095.7	33.0093	0.250456	0.00758744	8.79E-07	0.000115868	0.0302927	0.000229844	964.944	127176	1.98E-11	1.68E+07	6547.95	862998	127180	89.5653	8.79E-09	1.16E-06	0
354	70794.6	32.9956	0.24791	0.00751343	9.76E-07	0.000129953	0.0303053	0.000227697	851.973	113393	1.98E-11	1.51E+07	5781.35	769468	113396	89.5695	9.76E-09	1.30E-06	0
354	79432.8	32.9753	0.243711	0.00739073	1.08E-06	0.000145719	0.0303241	0.000224117	747.384	101124	1.98E-11	1.37E+07	5071.62	686214	101127	89.5766	1.08E-08	1.46E-06	0
354	89125.1	32.9575	0.242027	0.0073436	1.20E-06	0.000163412	0.0303404	0.000222808	662.215	90175.8	1.98E-11	1.23E+07	4493.68	611918	90178.2	89.5792	1.20E-08	1.63E-06	0
354	100000	32.9419	0.248335	0.00753857	1.38E-06	0.000183264	0.0303547	0.000228831	606.155	80407.1	1.98E-11	1.07E+07	4113.26	545629	80409.4	89.5681	1.38E-08	1.83E-06	0
354	112202	32.9151	0.257997	0.00783826	1.61E-06	0.000205458	0.0303793	0.000238121	562.168	71721	1.98E-11	9.15E+06	3814.78	486687	71723.2	89.5509	1.61E-08	2.05E-06	0
